Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
jira_wic,0.769407414,0.784615385,0.402327006,0.684794441,0.229471316,0.677310093,0.201775355,0.451302926,0.478162223
jira_act,0.777857745,0.774744027,0.30106851,0.735862077,0.454454454,0.734121737,0.354629486,0.516311718,0.479830149
jira_der,0.678328307,0.608355091,0.312230835,0.646844551,0.347501864,0.645829258,0.21586154,0.417841702,0.52051756
jira_gro,0.704936275,0.842857143,0.418109188,0.700321946,0.266365688,0.684160507,0.238235711,0.460971531,0.494518879
jira_jru,0.250767473,0.183908046,0.565217391,0.282772028,0.068522484,0.298046733,-0.247135226,-1.826607387,0.81121751
jira_der,0.457032067,0.420365535,0.483204134,0.466093521,0.193277311,0.466397925,-0.04387265,-0.128319996,0.72051756
jira_act,0.278059391,0.245733788,0.540540541,0.336012966,0.11755102,0.343836303,-0.213687883,-1.013122199,0.846602972
jira_hiv,0.345520975,0.346289753,0.548984996,0.395198525,0.195413759,0.396376933,-0.162136525,-0.468350052,0.900423729
jira_wic,0.455108578,0.423076923,0.472749541,0.472300224,0.114942529,0.472585379,-0.026013042,-0.10875058,0.596710153
jira_gro,0.221276393,0.185714286,0.613848202,0.267794521,0.047794118,0.278934524,-0.242044219,-2.108779162,0.785627284
jira_hba,0.491163861,0.481651376,0.510107015,0.485754702,0.279255319,0.485755669,-0.023011467,-0.046917577,0.824362606
jira_der,0.778881423,0.723237598,0.329888028,0.696168208,0.388499299,0.695513926,0.281741947,0.466866413,0.503142329
jira_wic,0.600466343,0.615384615,0.511941212,0.548036376,0.152963671,0.547223676,0.054110074,0.15570051,0.604651163
jira_hiv,0.626481807,0.628975265,0.423654016,0.602085848,0.378320935,0.601790207,0.16462452,0.26119628,0.687146893
jira_jru,0.387136789,0.32183908,0.440993789,0.424158042,0.140350877,0.427995737,-0.078006261,-0.326167676,0.668946648
jira_hba,0.281851007,0.266055046,0.57431629,0.336534246,0.152832675,0.341018059,-0.249334089,-0.920126339,0.964117092
jira_act,0.61565697,0.655290102,0.485229415,0.580796065,0.30548926,0.579124425,0.123293562,0.219159147,0.672505308
jira_gro,0.50261556,0.485714286,0.491344874,0.497052373,0.143763214,0.497053889,-0.003145445,-0.010603998,0.622411693
jira_wic,0.678369212,0.730769231,0.4776485,0.617833638,0.189054726,0.61229309,0.132306742,0.320834702,0.555870675
jira_der,0.742818157,0.72845953,0.383290267,0.670259713,0.359536082,0.667851196,0.242918028,0.406744446,0.547504621
jira_hba,0.691686939,0.660550459,0.368608799,0.645806277,0.428571429,0.645670748,0.238515553,0.350986255,0.638338055
jira_gro,0.603005516,0.557142857,0.444740346,0.556200458,0.176072235,0.556200257,0.063045135,0.184546675,0.567600487
jira_jru,0.886431784,0.896551724,0.324534161,0.778196673,0.417112299,0.75914323,0.379297072,0.562085657,0.429548564
jira_hiv,0.737441484,0.618374558,0.270962048,0.671430206,0.45751634,0.669048033,0.293195074,0.449531881,0.56920904
jira_act,0.804220841,0.781569966,0.326838466,0.725343255,0.439539347,0.722029621,0.33673255,0.491333593,0.499469214
jira_hiv,0.649545127,0.653710247,0.426301853,0.612398855,0.389064143,0.611638144,0.182169486,0.278347839,0.679378531
jira_jru,0.141072321,0.126436782,0.663043478,0.206406633,0.041904762,0.224519713,-0.354558403,-3.738962816,0.911080711
jira_wic,0.440863913,0.407692308,0.467850582,0.465782379,0.111932418,0.466280706,-0.031528517,-0.136677405,0.594441293
jira_gro,0.188653224,0.1,0.607190413,0.198194245,0.026266417,0.232315105,-0.285632759,-4.639464068,0.794153471
jira_act,0.205487136,0.208191126,0.634192332,0.275967227,0.089508437,0.282657262,-0.311656104,-1.72797675,0.937367304
jira_der,0.211095819,0.279373368,0.703703704,0.287710435,0.100753296,0.287784567,-0.308884896,-1.303809145,0.949722736
jira_hba,0.313554746,0.380733945,0.673008323,0.352841085,0.191464821,0.353304302,-0.242606657,-0.609634003,0.995278565
jira_jru,0.451327907,0.448275862,0.510869565,0.4682578,0.171428571,0.4683106,-0.040537409,-0.123013785,0.700410397
jira_der,0.590967204,0.550913838,0.456933678,0.546976007,0.254984894,0.546973088,0.065644754,0.146435861,0.660998152
jira_act,0.561034445,0.559726962,0.489000629,0.534808495,0.265587045,0.534724833,0.051262425,0.106707317,0.705414013
jira_hba,0.44604501,0.417431193,0.497027348,0.458210076,0.250343879,0.458510111,-0.064413679,-0.151428364,0.840415486
jira_hiv,0.439470869,0.438162544,0.527802295,0.4548619,0.246766169,0.454914415,-0.071706823,-0.163693731,0.846751412
jira_gro,0.526821381,0.485714286,0.507323569,0.489182973,0.140206186,0.489183497,-0.012070417,-0.040696425,0.637028015
jira_wic,0.429292477,0.369230769,0.443355787,0.453354355,0.106430155,0.454823801,-0.039046679,-0.185951976,0.577424844
jira_hiv,0.696710319,0.696113074,0.406001765,0.643031832,0.419148936,0.641402247,0.232631895,0.333465973,0.646186441
jira_wic,0.350025908,0.3,0.582976118,0.353704912,0.069580731,0.355848949,-0.149062731,-0.873700132,0.716959728
jira_jru,0.194242165,0.172413793,0.625776398,0.254010454,0.059405941,0.266346461,-0.296679778,-2.316552668,0.867305062
jira_act,0.272631032,0.273037543,0.592708988,0.333475242,0.121580547,0.336758581,-0.232559108,-0.988714172,0.882165605
jira_hba,0.198862211,0.279816514,0.717003567,0.281401982,0.138321995,0.281404714,-0.365519836,-1.240777721,1.071765817
jira_der,0.491123615,0.626631854,0.710594315,0.425853051,0.211174659,0.432396241,-0.063797836,-0.115018484,0.857301294
jira_gro,0.258826327,0.228571429,0.62183755,0.294001924,0.057866184,0.299363154,-0.223163728,-1.573842875,0.785627284
jira_gro,0.551046224,0.528571429,0.463382157,0.53257944,0.162637363,0.532577321,0.036481401,0.112815617,0.58952497
jira_jru,0.752891411,0.701149425,0.336956522,0.681830297,0.334246575,0.681526011,0.24291959,0.457603552,0.487004104
jira_der,0.746459678,0.684073107,0.316106804,0.683983145,0.379985497,0.683983138,0.265973178,0.461743167,0.502402957
jira_wic,0.687260351,0.676923077,0.423759951,0.624555992,0.193406593,0.623203507,0.133211328,0.346413654,0.513896767
jira_hiv,0.737360396,0.692579505,0.315975287,0.688288818,0.468339307,0.688272761,0.308592124,0.435093105,0.575564972
jira_hba,0.717461737,0.711009174,0.375743163,0.666222439,0.449927431,0.664814513,0.272782595,0.374467696,0.623229462
jira_act,0.804726029,0.795221843,0.304211188,0.743845724,0.461386139,0.740694639,0.366492263,0.521425057,0.47611465
jira_wic,0.428531725,0.315384615,0.415799143,0.429241147,0.096470588,0.433613581,-0.053389139,-0.294910283,0.55984118
jira_jru,0.888520026,0.91954023,0.329192547,0.785388082,0.422163588,0.760373721,0.390289383,0.565595075,0.428180575
jira_hba,0.772635787,0.743119266,0.335315101,0.702808761,0.489425982,0.701316281,0.334155689,0.435805966,0.577903683
jira_der,0.729908942,0.673629243,0.335055986,0.66927254,0.363636364,0.669258118,0.242814769,0.431446216,0.521626617
jira_act,0.773608159,0.750853242,0.338152106,0.704947259,0.418648906,0.702997514,0.305000651,0.464162324,0.518577495
jira_hiv,0.781782628,0.734982332,0.309796999,0.712240838,0.494061758,0.711721883,0.347848498,0.46287959,0.553672316
jira_gro,0.597479551,0.528571429,0.424766977,0.551408869,0.17370892,0.551295262,0.058496986,0.179642493,0.554202192
jira_jru,0.205432998,0.16091954,0.582298137,0.259261242,0.058823529,0.277806419,-0.273455825,-2.306918116,0.831737346
jira_hiv,0.745509748,0.749116608,0.40423654,0.668054116,0.444910808,0.663585333,0.276229115,0.368370909,0.623587571
jira_gro,0.432727792,0.428571429,0.529960053,0.448827017,0.120481928,0.448915492,-0.056681334,-0.216402761,0.667478685
