Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
ant1_7,0.8211706931352353,0.7349397590361446,0.2504317789291883,0.7422179516657719,0.5635103926096998,0.7421502305241918,0.4204599955793285,0.5123555946748818,0.2677852348993289,0.09205020920502092
poi2_0,0.6818714020880086,0.6486486486486487,0.4368231046931408,0.6044037823267949,0.26373626373626374,0.6036023480832818,0.13699090143956774,0.28808386411889597,0.2929936305732484,0.07692307692307693
camel1_4,0.6459706872835934,0.4,0.21458046767537828,0.5605067465515903,0.3231197771587743,0.5494199421258281,0.16043046947779327,0.3864678899082569,0.2723623853211009,0.13221884498480244
ivy2_0,0.8114583333333333,0.8,0.33653846153846156,0.728539107233943,0.36158192090395486,0.7231804413569423,0.30167649809807917,0.5134943181818182,0.22869318181818182,0.037209302325581395
jedit4_0,0.7675324675324676,0.68,0.21645021645021645,0.7299409926931443,0.5795454545454545,0.7268235952709811,0.424028831250169,0.5146097654748174,0.2826797385620915,0.11707317073170732
log1_0,0.8002329644729179,0.5882352941176471,0.16831683168316833,0.6994464905391605,0.5633802816901409,0.6854521269836333,0.40864972885214507,0.534074074074074,0.29259259259259257,0.14285714285714285
xal2_4,0.7627168915912799,0.7454545454545455,0.33931484502446985,0.7017911027441498,0.41000000000000003,0.7000600456060146,0.29761791979721824,0.4619303039503424,0.25864453665283543,0.06466512702078522
vel1_6,0.694854814060112,0.4358974358974359,0.2052980132450331,0.5885648293341084,0.4755244755244755,0.5755244547271037,0.24239038487436496,0.348831235550989,0.43013100436681223,0.2682926829268293
tom6_0,0.8134592680047226,0.8051948051948052,0.29833546734955185,0.7516492777084148,0.3333333333333333,0.7480544552866975,0.3049952853310784,0.5729942100909843,0.19813519813519814,0.02664298401420959
xer1_3,0.7657193538647343,0.4057971014492754,0.1640625,0.5824268318791243,0.35000000000000003,0.5641137828788729,0.2167973628573003,0.5049668874172186,0.23620309050772628,0.1132596685082873
luc2_4,0.7204544445923756,0.43349753694581283,0.14114114114114115,0.6101747289911365,0.5207100591715977,0.5871768766353536,0.3266958851191665,0.4189916892808685,0.44776119402985076,0.286783042394015
syn1_2,0.7555597915872411,0.6744186046511628,0.33879781420765026,0.6677776991891653,0.5631067961165049,0.6677446735497101,0.3148762243167437,0.33854634021279323,0.379182156133829,0.18791946308724833
ant1_7,0.8211706931352353,0.7349397590361446,0.2504317789291883,0.7422179516657719,0.5635103926096998,0.7421502305241918,0.4204599955793285,0.5123555946748818,0.2677852348993289,0.09205020920502092
poi2_0,0.6818714020880086,0.6486486486486487,0.4368231046931408,0.6044037823267949,0.26373626373626374,0.6036023480832818,0.13699090143956774,0.28808386411889597,0.2929936305732484,0.07692307692307693
camel1_4,0.6459706872835934,0.4,0.21458046767537828,0.5605067465515903,0.3231197771587743,0.5494199421258281,0.16043046947779327,0.3864678899082569,0.2723623853211009,0.13221884498480244
ivy2_0,0.8114583333333333,0.8,0.33653846153846156,0.728539107233943,0.36158192090395486,0.7231804413569423,0.30167649809807917,0.5134943181818182,0.22869318181818182,0.037209302325581395
jedit4_0,0.7675324675324676,0.68,0.21645021645021645,0.7299409926931443,0.5795454545454545,0.7268235952709811,0.424028831250169,0.5146097654748174,0.2826797385620915,0.11707317073170732
log1_0,0.8002329644729179,0.5882352941176471,0.16831683168316833,0.6994464905391605,0.5633802816901409,0.6854521269836333,0.40864972885214507,0.534074074074074,0.29259259259259257,0.14285714285714285
xal2_4,0.7627168915912799,0.7454545454545455,0.33931484502446985,0.7017911027441498,0.41000000000000003,0.7000600456060146,0.29761791979721824,0.4619303039503424,0.25864453665283543,0.06466512702078522
vel1_6,0.694854814060112,0.4358974358974359,0.2052980132450331,0.5885648293341084,0.4755244755244755,0.5755244547271037,0.24239038487436496,0.348831235550989,0.43013100436681223,0.2682926829268293
tom6_0,0.8134592680047226,0.8051948051948052,0.29833546734955185,0.7516492777084148,0.3333333333333333,0.7480544552866975,0.3049952853310784,0.5729942100909843,0.19813519813519814,0.02664298401420959
xer1_3,0.7657193538647343,0.4057971014492754,0.1640625,0.5824268318791243,0.35000000000000003,0.5641137828788729,0.2167973628573003,0.5049668874172186,0.23620309050772628,0.1132596685082873
luc2_4,0.7204544445923756,0.43349753694581283,0.14114114114114115,0.6101747289911365,0.5207100591715977,0.5871768766353536,0.3266958851191665,0.4189916892808685,0.44776119402985076,0.286783042394015
syn1_2,0.7555597915872411,0.6744186046511628,0.33879781420765026,0.6677776991891653,0.5631067961165049,0.6677446735497101,0.3148762243167437,0.33854634021279323,0.379182156133829,0.18791946308724833
ant1_7,0.8211706931352353,0.7349397590361446,0.2504317789291883,0.7422179516657719,0.5635103926096998,0.7421502305241918,0.4204599955793285,0.5123555946748818,0.2677852348993289,0.09205020920502092
poi2_0,0.6818714020880086,0.6486486486486487,0.4368231046931408,0.6044037823267949,0.26373626373626374,0.6036023480832818,0.13699090143956774,0.28808386411889597,0.2929936305732484,0.07692307692307693
camel1_4,0.6459706872835934,0.4,0.21458046767537828,0.5605067465515903,0.3231197771587743,0.5494199421258281,0.16043046947779327,0.3864678899082569,0.2723623853211009,0.13221884498480244
ivy2_0,0.8114583333333333,0.8,0.33653846153846156,0.728539107233943,0.36158192090395486,0.7231804413569423,0.30167649809807917,0.5134943181818182,0.22869318181818182,0.037209302325581395
jedit4_0,0.7675324675324676,0.68,0.21645021645021645,0.7299409926931443,0.5795454545454545,0.7268235952709811,0.424028831250169,0.5146097654748174,0.2826797385620915,0.11707317073170732
log1_0,0.8002329644729179,0.5882352941176471,0.16831683168316833,0.6994464905391605,0.5633802816901409,0.6854521269836333,0.40864972885214507,0.534074074074074,0.29259259259259257,0.14285714285714285
xal2_4,0.7627168915912799,0.7454545454545455,0.33931484502446985,0.7017911027441498,0.41000000000000003,0.7000600456060146,0.29761791979721824,0.4619303039503424,0.25864453665283543,0.06466512702078522
vel1_6,0.694854814060112,0.4358974358974359,0.2052980132450331,0.5885648293341084,0.4755244755244755,0.5755244547271037,0.24239038487436496,0.348831235550989,0.43013100436681223,0.2682926829268293
tom6_0,0.8134592680047226,0.8051948051948052,0.29833546734955185,0.7516492777084148,0.3333333333333333,0.7480544552866975,0.3049952853310784,0.5729942100909843,0.19813519813519814,0.02664298401420959
xer1_3,0.7657193538647343,0.4057971014492754,0.1640625,0.5824268318791243,0.35000000000000003,0.5641137828788729,0.2167973628573003,0.5049668874172186,0.23620309050772628,0.1132596685082873
luc2_4,0.7204544445923756,0.43349753694581283,0.14114114114114115,0.6101747289911365,0.5207100591715977,0.5871768766353536,0.3266958851191665,0.4189916892808685,0.44776119402985076,0.286783042394015
syn1_2,0.7555597915872411,0.6744186046511628,0.33879781420765026,0.6677776991891653,0.5631067961165049,0.6677446735497101,0.3148762243167437,0.33854634021279323,0.379182156133829,0.18791946308724833
ant1_7,0.8211706931352353,0.7349397590361446,0.2504317789291883,0.7422179516657719,0.5635103926096998,0.7421502305241918,0.4204599955793285,0.5123555946748818,0.2677852348993289,0.09205020920502092
poi2_0,0.6818714020880086,0.6486486486486487,0.4368231046931408,0.6044037823267949,0.26373626373626374,0.6036023480832818,0.13699090143956774,0.28808386411889597,0.2929936305732484,0.07692307692307693
camel1_4,0.6459706872835934,0.4,0.21458046767537828,0.5605067465515903,0.3231197771587743,0.5494199421258281,0.16043046947779327,0.3864678899082569,0.2723623853211009,0.13221884498480244
ivy2_0,0.8114583333333333,0.8,0.33653846153846156,0.728539107233943,0.36158192090395486,0.7231804413569423,0.30167649809807917,0.5134943181818182,0.22869318181818182,0.037209302325581395
jedit4_0,0.7675324675324676,0.68,0.21645021645021645,0.7299409926931443,0.5795454545454545,0.7268235952709811,0.424028831250169,0.5146097654748174,0.2826797385620915,0.11707317073170732
log1_0,0.8002329644729179,0.5882352941176471,0.16831683168316833,0.6994464905391605,0.5633802816901409,0.6854521269836333,0.40864972885214507,0.534074074074074,0.29259259259259257,0.14285714285714285
xal2_4,0.7627168915912799,0.7454545454545455,0.33931484502446985,0.7017911027441498,0.41000000000000003,0.7000600456060146,0.29761791979721824,0.4619303039503424,0.25864453665283543,0.06466512702078522
vel1_6,0.694854814060112,0.4358974358974359,0.2052980132450331,0.5885648293341084,0.4755244755244755,0.5755244547271037,0.24239038487436496,0.348831235550989,0.43013100436681223,0.2682926829268293
tom6_0,0.8134592680047226,0.8051948051948052,0.29833546734955185,0.7516492777084148,0.3333333333333333,0.7480544552866975,0.3049952853310784,0.5729942100909843,0.19813519813519814,0.02664298401420959
xer1_3,0.7657193538647343,0.4057971014492754,0.1640625,0.5824268318791243,0.35000000000000003,0.5641137828788729,0.2167973628573003,0.5049668874172186,0.23620309050772628,0.1132596685082873
luc2_4,0.7204544445923756,0.43349753694581283,0.14114114114114115,0.6101747289911365,0.5207100591715977,0.5871768766353536,0.3266958851191665,0.4189916892808685,0.44776119402985076,0.286783042394015
