Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
ant1_7,0.8243440081569803,0.8072289156626506,0.3385146804835924,0.730732562022517,0.5403225806451614,0.7245432158581803,0.39266342567409357,0.4512671541620755,0.2859060402684564,0.07710843373493977
poi2_0,0.6840179529710216,0.6216216216216216,0.4548736462093863,0.5821188263851317,0.24731182795698925,0.5816220421436658,0.10766293373471898,0.23663805040155078,0.304140127388535,0.08484848484848485
camel1_4,0.680861357491818,0.5379310344827586,0.29573590096286106,0.6155042772752405,0.35616438356164387,0.6120776804484636,0.19091652770179202,0.3753675605739825,0.28325688073394495,0.1157167530224525
ivy2_0,0.8228365384615385,0.825,0.358974358974359,0.7272180923534245,0.3567567567567568,0.7176105611030646,0.3005023906118816,0.5006887052341598,0.23579545454545456,0.033816425120772944
jedit4_0,0.7985858585858586,0.76,0.31601731601731603,0.720990180118176,0.5560975609756097,0.7194051461423534,0.38634441980771017,0.4410044719642243,0.3006535947712418,0.10227272727272728
log1_0,0.8657542224810716,0.5882352941176471,0.0297029702970297,0.7554885562659478,0.7017543859649124,0.7080818270004017,0.6448749809890041,0.7103703703703703,0.24074074074074073,0.125
xal2_4,0.7870680705917248,0.7818181818181819,0.3099510603588907,0.7345017408800175,0.4455958549222798,0.7319767122032821,0.34884941181581475,0.5117244041300782,0.24066390041493776,0.053691275167785234
vel1_6,0.6978264561046018,0.47435897435897434,0.2185430463576159,0.6088440843397346,0.5,0.5974707768694201,0.2631575136780622,0.3556001416263425,0.42139737991266374,0.2578616352201258
tom6_0,0.8310690589819911,0.7402597402597403,0.25224071702944945,0.7440000622235118,0.34441087613293053,0.743982049596646,0.3055429752270662,0.6000899685110211,0.18298368298368298,0.033112582781456956
xer1_3,0.7515662741545894,0.42028985507246375,0.16927083333333334,0.5908866566972061,0.35582822085889576,0.5729657700199747,0.22242604476917702,0.5062799725964832,0.23620309050772628,0.11142061281337047
luc2_4,0.7635172117930739,0.42857142857142855,0.13813813813813813,0.6077576567756011,0.5178571428571429,0.5843001338386256,0.32616562427800033,0.4210199004975124,0.44869402985074625,0.2878411910669975
syn1_2,0.7657898081077646,0.7209302325581395,0.3879781420765027,0.6642477402019908,0.5662100456621004,0.6620599359137859,0.31057124413709264,0.31418635327976974,0.38104089219330856,0.17647058823529413
ant1_7,0.8232307468214828,0.8253012048192772,0.3592400690846287,0.7272000708088336,0.5362035225048923,0.717534872706802,0.38895259365427587,0.43888698378484303,0.28993288590604027,0.0725
poi2_0,0.6868474973168114,0.6216216216216216,0.4187725631768953,0.6010853032714716,0.26136363636363635,0.6009131317031353,0.13167014635510652,0.28787039601218495,0.28821656050955413,0.08
camel1_4,0.6828629701655362,0.5310344827586206,0.2874828060522696,0.6151188499344308,0.35730858468677495,0.6110430485663219,0.19315702409299002,0.38237221494102225,0.2809633027522936,0.11604095563139932
ivy2_0,0.8237980769230769,0.825,0.34935897435897434,0.7326519270116241,0.3626373626373627,0.7237060505863777,0.30770374361798625,0.5110192837465565,0.2315340909090909,0.03333333333333333
jedit4_0,0.7995093795093795,0.7466666666666667,0.2987012987012987,0.7236272269866327,0.5599999999999999,0.7230521315990858,0.39200063258372797,0.45290616246498605,0.2973856209150327,0.10497237569060773
log1_0,0.8712871287128713,0.5882352941176471,0.039603960396039604,0.7516241393315273,0.6896551724137931,0.707494746466468,0.6228932760173473,0.6977777777777777,0.24444444444444444,0.12612612612612611
xal2_4,0.7856443719412725,0.7818181818181819,0.33278955954323003,0.7222445939209378,0.42999999999999994,0.7186175229992982,0.32904678944059645,0.48695680144102416,0.2503457814661134,0.05542725173210162
vel1_6,0.6946850059432841,0.47435897435897434,0.2185430463576159,0.6088440843397346,0.5,0.5974707768694201,0.2631575136780622,0.3556001416263425,0.42139737991266374,0.2578616352201258
tom6_0,0.8269617706237424,0.7142857142857143,0.22151088348271447,0.7456967578414191,0.36065573770491804,0.7443638087412923,0.3188465328352917,0.627972027972028,0.17132867132867133,0.03492063492063492
xer1_3,0.7411496074879226,0.4057971014492754,0.16145833333333334,0.5833333333333334,0.3522012578616352,0.5646002537616377,0.2200432092124093,0.5104068117313151,0.23509933774834438,0.11294765840220386
luc2_4,0.7681326646843888,0.4236453201970443,0.12312312312312312,0.6094955170285411,0.5212121212121211,0.5832602608471569,0.3428334400289971,0.4407106907323846,0.4458955223880597,0.2860635696821516
syn1_2,0.7636294319481509,0.7209302325581395,0.39344262295081966,0.6612756996109268,0.5636363636363636,0.6589156756354266,0.3054571956793094,0.3090298596954071,0.3828996282527881,0.17777777777777778
ant1_7,0.8218261647626777,0.8132530120481928,0.3454231433506045,0.729614007737762,0.5389221556886228,0.7223387086112968,0.3913514434397754,0.4470792940591598,0.287248322147651,0.07560975609756097
poi2_0,0.674065762513416,0.6216216216216216,0.5018050541516246,0.5564968554466082,0.23115577889447236,0.5556023685952151,0.07729979087601184,0.17003600110772638,0.3248407643312102,0.09210526315789473
camel1_4,0.6819048522506284,0.5379310344827586,0.29573590096286106,0.6155042772752405,0.35616438356164387,0.6120776804484636,0.19091652770179202,0.3753675605739825,0.28325688073394495,0.1157167530224525
ivy2_0,0.8223557692307693,0.825,0.36217948717948717,0.7253977688667942,0.3548387096774194,0.7155716426465213,0.29813286514851484,0.49724517906336085,0.2372159090909091,0.03398058252427184
jedit4_0,0.8008369408369409,0.7333333333333333,0.30303030303030304,0.7149203529842405,0.5499999999999999,0.714571834198385,0.3765448674026146,0.44295900178253117,0.3022875816993464,0.11049723756906077
log1_0,0.8698311007571345,0.5294117647058824,0.0297029702970297,0.7167193751978005,0.6545454545454545,0.6665816789364312,0.5984874736723288,0.7061728395061728,0.25555555555555554,0.14035087719298245
xal2_4,0.7831380691087052,0.7818181818181819,0.3458401305057096,0.7151461946947948,0.4215686274509804,0.7108558303775345,0.31811826756007094,0.4728038856187076,0.25587828492392806,0.05647058823529412
vel1_6,0.6891662421463746,0.47435897435897434,0.2119205298013245,0.6114184894135993,0.5034013605442177,0.5992452128868431,0.2710682758208606,0.36480585388882336,0.4192139737991266,0.25625
tom6_0,0.8274606315579427,0.7142857142857143,0.21895006402048656,0.7469222258133293,0.36303630363036304,0.7454692714073607,0.3214087582542261,0.6312354312354312,0.17016317016317017,0.03481012658227848
xer1_3,0.7516794987922706,0.4057971014492754,0.15625,0.5851421232041205,0.356687898089172,0.5655514143502809,0.22664958022494983,0.5212866603595081,0.23289183222958057,0.11232876712328767
luc2_4,0.7614313821210372,0.45320197044334976,0.13213213213213212,0.6271518379166137,0.5427728613569321,0.6022268325610571,0.35790700224448985,0.44013627514600906,0.4375,0.2775
syn1_2,0.7634388105223027,0.7209302325581395,0.3879781420765027,0.6642477402019908,0.5662100456621004,0.6620599359137859,0.31057124413709264,0.31418635327976974,0.38104089219330856,0.17647058823529413
ant1_7,0.8217845475164909,0.8012048192771084,0.33678756476683935,0.7289506151402271,0.5384615384615384,0.7234630335197253,0.38931104335393185,0.450492001816622,0.2865771812080537,0.07913669064748201
poi2_0,0.6888964777051421,0.6216216216216216,0.3971119133574007,0.6121831997655026,0.27058823529411763,0.6121417340350814,0.14649093946041236,0.3186098033785654,0.2786624203821656,0.07734806629834254
camel1_4,0.6848835554712327,0.5586206896551724,0.2984869325997249,0.6260029660578751,0.3656884875846501,0.6232307440002115,0.2042132145727629,0.3882376260052101,0.2809633027522936,0.11149825783972125
ivy2_0,0.8251602564102564,0.825,0.3557692307692308,0.7290338706914684,0.358695652173913,0.7196459866863592,0.30288715912647746,0.5041322314049587,0.234375,0.03365384615384615
jedit4_0,0.8042424242424242,0.7466666666666667,0.30735930735930733,0.7191465199607916,0.5544554455445545,0.7183552578174315,0.38351002799015615,0.44415266106442575,0.3006535947712418,0.10614525139664804
log1_0,0.8695398951659872,0.5882352941176471,0.0594059405940594,0.7438350779440057,0.6666666666666667,0.7058238293231032,0.5821243631479208,0.6725925925925926,0.2518518518518518,0.12844036697247707
xal2_4,0.7866824855405605,0.8,0.3262642740619902,0.7341584166584266,0.44221105527638194,0.7294003173235439,0.3475536429346467,0.5020746887966806,0.24481327800829875,0.05057471264367816
vel1_6,0.6953642384105961,0.47435897435897434,0.2251655629139073,0.6062587474619827,0.49664429530201337,0.5956498926924304,0.25533750637851976,0.34639442936386167,0.42358078602620086,0.25949367088607594
tom6_0,0.8261303357334088,0.7142857142857143,0.2330345710627401,0.740157043633917,0.35031847133757965,0.7392915763044664,0.30762574652328845,0.6132867132867134,0.17657342657342656,0.03542673107890499
xer1_3,0.7468863224637681,0.4057971014492754,0.15625,0.5851421232041205,0.356687898089172,0.5655514143502809,0.22664958022494983,0.5212866603595081,0.23289183222958057,0.11232876712328767
luc2_4,0.7602775188982086,0.43842364532019706,0.13813813813813813,0.6147036840949708,0.5266272189349113,0.5910683753096814,0.3355563311255356,0.42551987254737555,0.4449626865671642,0.28428927680798005
syn1_2,0.7662345914347439,0.7093023255813954,0.3770491803278688,0.6647258571142536,0.5648148148148149,0.6633464523443257,0.31007360253489835,0.3186665854104455,0.38104089219330856,0.17985611510791366
ant1_7,0.8222631458476394,0.8132530120481928,0.3540587219343696,0.7247852716447356,0.533596837944664,0.7169522866309712,0.3836390747587182,0.43882674620929657,0.2906040268456376,0.07654320987654321
poi2_0,0.6807981266465021,0.6216216216216216,0.40794223826714804,0.6066596293985971,0.26589595375722547,0.6065619064028867,0.139034926918625,0.3032400996953752,0.28343949044585987,0.07865168539325842
camel1_4,0.6850163638950814,0.5448275862068965,0.2874828060522696,0.6230561956272107,0.3648960739030024,0.6193240945016831,0.20373418333996723,0.3937986296597375,0.2786697247706422,0.11301369863013698
ivy2_0,0.8274038461538462,0.825,0.3557692307692308,0.7290338706914684,0.358695652173913,0.7196459866863592,0.30288715912647746,0.5041322314049587,0.234375,0.03365384615384615
jedit4_0,0.7985281385281386,0.76,0.31601731601731603,0.720990180118176,0.5560975609756097,0.7194051461423534,0.38634441980771017,0.4410044719642243,0.3006535947712418,0.10227272727272728
log1_0,0.8680838672102504,0.5588235294117647,0.039603960396039604,0.7325925910658434,0.6666666666666667,0.6867866925881476,0.599484927582583,0.6951267056530214,0.2518518518518518,0.13392857142857142
xal2_4,0.7907311285777844,0.7909090909090909,0.3197389885807504,0.7335016142603215,0.44274809160305345,0.7298592690067786,0.3467246741831178,0.5050953085006598,0.24343015214384509,0.05227272727272727
vel1_6,0.7031754117846832,0.5128205128205128,0.2185430463576159,0.6330459349162927,0.5298013245033112,0.6224388024175848,0.2992740453648598,0.3783842794759824,0.40829694323144106,0.24358974358974358
tom6_0,0.8288408134758968,0.7272727272727273,0.25480153649167736,0.7361810367804538,0.3373493975903615,0.7360833575844679,0.2954727712961931,0.5913461538461539,0.1853146853146853,0.03482587064676617
xer1_3,0.7503208031400965,0.43478260869565216,0.16927083333333334,0.6009880150243418,0.36585365853658536,0.582793028311934,0.2343530598268731,0.5176600441501104,0.23399558498896247,0.10893854748603352
luc2_4,0.7566679980473084,0.43349753694581283,0.12912912912912913,0.6144268691393447,0.5269461077844311,0.58914761006165,0.34356312845938086,0.436206750339213,0.44402985074626866,0.2839506172839506
syn1_2,0.7676960223662473,0.7209302325581395,0.3989071038251366,0.6582902410247244,0.5610859728506787,0.6557567628970669,0.30036031581349243,0.3038733661110445,0.3847583643122677,0.1791044776119403
ant1_7,0.8242087521068729,0.8132530120481928,0.35233160621761656,0.7257535890727226,0.5346534653465347,0.7180319182522975,0.38517433179911337,0.4404772557792692,0.28993288590604027,0.07635467980295567
poi2_0,0.6910430285881549,0.6216216216216216,0.4007220216606498,0.6103475638498395,0.26900584795321636,0.6102896358396087,0.14399487137190436,0.31348656881750203,0.2802547770700637,0.07777777777777778
camel1_4,0.6883840060712423,0.5310344827586206,0.24346629986244842,0.633833954708968,0.38596491228070173,0.6263661581640482,0.2356573251500782,0.4514774216609079,0.2626146788990826,0.11003236245954692
ivy2_0,0.8286057692307692,0.825,0.3557692307692308,0.7290338706914684,0.358695652173913,0.7196459866863592,0.30288715912647746,0.5041322314049587,0.234375,0.03365384615384615
jedit4_0,0.798066378066378,0.76,0.3246753246753247,0.7164124184062929,0.5507246376811594,0.7145056336343679,0.37808401539438163,0.43240454076367385,0.30392156862745096,0.10344827586206896
log1_0,0.8730343622597554,0.5,0.0297029702970297,0.6965260331469924,0.6296296296296295,0.6458233022596869,0.5746566850209432,0.7037037037037037,0.26296296296296295,0.14782608695652175
xal2_4,0.7882099955509416,0.7909090909090909,0.32463295269168024,0.7308583566030973,0.4393939393939394,0.7269564483110968,0.34248853332994295,0.499848969014801,0.24550484094052558,0.05263157894736842
vel1_6,0.706231957887587,0.5128205128205128,0.23178807947019867,0.6276582119600792,0.5228758169934641,0.6185097861589689,0.28379270441881593,0.361353711790393,0.4126637554585153,0.24675324675324675
tom6_0,0.8299881936245572,0.7142857142857143,0.2471190781049936,0.7333294532935806,0.3384615384615384,0.7328853319034254,0.2945451938351801,0.5953379953379954,0.18298368298368298,0.036065573770491806
xer1_3,0.7531514190821256,0.43478260869565216,0.16666666666666666,0.601929265428846,0.3680981595092025,0.5833175806380415,0.23757549572097933,0.5227373068432671,0.23289183222958057,0.10863509749303621
luc2_4,0.7605585881447949,0.4433497536945813,0.13813813813813813,0.6181474291584571,0.5309734513274337,0.5944499772406895,0.34022932502342035,0.42769485903814264,0.4430970149253731,0.2825
syn1_2,0.766488753335875,0.7209302325581395,0.3879781420765027,0.6642477402019908,0.5662100456621004,0.6620599359137859,0.31057124413709264,0.31418635327976974,0.38104089219330856,0.17647058823529413
ant1_7,0.8215244397278232,0.7951807228915663,0.32469775474956825,0.7327941918086798,0.5432098765432098,0.7285413768042797,0.39551938878797627,0.4598332316453122,0.2832214765100671,0.08
poi2_0,0.6825543955507856,0.6486486486486487,0.4548736462093863,0.5946389431655538,0.25668449197860965,0.5935779249891545,0.125075124554372,0.2635350318471338,0.30095541401273884,0.07926829268292683
camel1_4,0.6796376227292131,0.5379310344827586,0.29436038514442914,0.6161050624619737,0.356979405034325,0.6126011323993381,0.19216342820354865,0.3774994119030816,0.2826834862385321,0.11551724137931034
ivy2_0,0.8301282051282051,0.825,0.34615384615384615,0.734454271498966,0.36464088397790057,0.7257305292170667,0.31013623630955084,0.5144628099173554,0.23011363636363635,0.03317535545023697
jedit4_0,0.8011832611832612,0.7733333333333333,0.3203463203463203,0.7249819622575762,0.5603864734299516,0.7225116734552559,0.39342393964665967,0.4421906693711967,0.29901960784313725,0.09770114942528736
log1_0,0.8692486895748398,0.5588235294117647,0.04950495049504951,0.7288065574984671,0.6551724137931034,0.6860832767084483,0.5782592036912635,0.6818713450292397,0.25555555555555554,0.13513513513513514
xal2_4,0.7835533145484206,0.7818181818181819,0.3262642740619902,0.7257677591894033,0.43434343434343425,0.7224647028625715,0.3346128547701787,0.4940332593521825,0.2475795297372061,0.05491990846681922
vel1_6,0.7000339616233656,0.48717948717948717,0.2185430463576159,0.6170168538446426,0.5100671140939597,0.6058262175887641,0.27525992169732083,0.3635945759595495,0.4170305676855895,0.25316455696202533
tom6_0,0.8281922942614363,0.7142857142857143,0.23431498079385404,0.7395389583122264,0.34920634920634924,0.7387183863284208,0.30640885578536037,0.6116550116550117,0.17715617715617715,0.035483870967741936
