Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
AEEEM_JDT,0.695469665,0.844660194,0.570164349,0.602548807,0.418772563,0.582137678,0.229797949,0.257830964,0.361584754,0.086021505
AEEEM_JDT,0.728695396,0.796116505,0.499367889,0.631317263,0.42875817,0.618596822,0.242084841,0.295728649,0.343530592,0.095890411
AEEEM_JDT,0.702576314,0.781553398,0.486725664,0.633365062,0.428191489,0.6227595,0.239831153,0.299289172,0.341524574,0.099778271
AEEEM_JDT,0.688915346,0.815533981,0.517067004,0.627573317,0.429118774,0.611808038,0.244740356,0.290359173,0.346539619,0.09047619
AEEEM_JDT,0.716789611,0.810679612,0.505689001,0.633030685,0.432082794,0.618186187,0.249334608,0.298482273,0.343029087,0.090697674
AEEEM_JDT,0.658936089,0.786407767,0.522123894,0.613029756,0.414852753,0.601104649,0.21657203,0.266627042,0.354563691,0.104265403
AEEEM_JDT,0.727124323,0.82038835,0.546144121,0.610195112,0.418835192,0.593469714,0.226920911,0.265215766,0.357071214,0.093434343
AEEEM_JDT,0.674161992,0.796116505,0.538558786,0.606103099,0.412060302,0.592805915,0.212164741,0.256672456,0.359077232,0.103194103
AEEEM_JDT,0.725123661,0.810679612,0.512010114,0.628970151,0.429305913,0.613997043,0.244523298,0.29229605,0.34553661,0.091764706
AEEEM_JDT,0.708154849,0.805825243,0.495575221,0.637556444,0.434554974,0.623636721,0.253037165,0.305458544,0.34002006,0.091116173
AEEEM_JDT,0.724497686,0.830097087,0.537294564,0.6197503,0.426433915,0.601532656,0.24176941,0.27985125,0.351554664,0.087281796
AEEEM_JDT,0.725952156,0.839805825,0.543615676,0.619091442,0.427688504,0.599263068,0.245293305,0.279816328,0.352056169,0.083756345
AEEEM_JDT,0.646582303,0.742718447,0.466498104,0.629477323,0.42032967,0.62329436,0.223921325,0.295061656,0.341524574,0.111578947
AEEEM_JDT,0.712947848,0.825242718,0.517067004,0.631297821,0.433121019,0.61406063,0.252867399,0.296277066,0.344533601,0.086124402
AEEEM_JDT,0.744277245,0.805825243,0.504424779,0.631939097,0.430609598,0.617803589,0.246263287,0.296745659,0.343530592,0.092592593
AEEEM_JDT,0.659181569,0.791262136,0.519595449,0.616543536,0.417948718,0.604051186,0.222552311,0.272393869,0.352557673,0.101654846
AEEEM_JDT,0.690609159,0.810679612,0.512010114,0.628970151,0.429305913,0.613997043,0.244523298,0.29229605,0.34553661,0.091764706
AEEEM_JDT,0.690922146,0.796116505,0.501896334,0.62972101,0.427640156,0.616940991,0.240142828,0.293208895,0.344533601,0.096330275
AEEEM_JDT,0.676076737,0.815533981,0.532237674,0.617637492,0.422641509,0.601688154,0.233278673,0.275600611,0.352557673,0.093137255
